Country,Limiting Magnitude,Date,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Park
United States - New York,4,2007-03-08,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - North Carolina,5,2015-11-04,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Ohio,4,2011-02-28,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Oklahoma,5,2016-02-08,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Oregon,4,2018-11-08,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Pennsylvania,5,2012-02-13,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - South Carolina,4,2014-02-25,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Tennessee,2,2012-04-20,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Texas,6,2009-03-29,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Utah,-999,2014-05-31,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Virginia,5,2012-04-11,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Washington,3,2015-02-14,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Wisconsin,4,2017-09-14,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Arizona,6,2016-07-27,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Arkansas,3,2014-02-23,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - California,6,2017-07-26,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Colorado,5,2009-03-27,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Connecticut,4,2015-03-17,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Florida,5,2017-04-21,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Georgia,4,2013-02-09,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Illinois,4,2014-09-18,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Indiana,4,2015-09-04,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Iowa,2,2006-03-28,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Kansas,3,2009-03-29,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Louisiana,2,2015-10-10,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Maine,4,2012-03-14,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Maryland,4,2018-01-13,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Massachusetts,4,2009-03-25,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Michigan,5,2009-03-27,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Missouri,3,2012-02-19,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Nevada,3,2010-03-14,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - New Hampshire,3,2009-03-23,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - New Jersey,4,2007-03-20,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - New Mexico,3,2006-03-23,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - New York,4,2007-03-09,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - North Carolina,5,2015-12-25,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
